"id","method","price"
"1482169064744","customer pickup","160.0"
"1482184052565","customer pickup","0.0"
"1482184189072","customer pickup","0.0"
"1482184373744","customer pickup","0.0"
"1482184373760","customer pickup","0.0"
"1482184373775","customer pickup","0.0"
"1482184373791","customer pickup","0.0"
"1482184373806","customer pickup","0.0"
"1482184373822","customer pickup","0.0"
"1482184373838","customer pickup","0.0"
"1482184828197","customer pickup","0.0"
"1482184828213","customer pickup","0.0"
"1482184828229","customer pickup","0.0"
"1482184916379","customer pickup","0.0"
"1482184916436","customer pickup","0.0"
"1482184916485","customer pickup","0.0"
"1482184916505","customer pickup","0.0"
"1482184916531","customer pickup","0.0"
"1482184916582","customer pickup","0.0"
"1482184916668","customer pickup","0.0"
"1482184916698","customer pickup","0.0"
"1482184916793","customer pickup","0.0"
"1482184916812","customer pickup","0.0"
"1482185340802","customer pickup","0.0"
"1482185340826","customer pickup","0.0"
"1482185340843","customer pickup","0.0"
"1482185340861","customer pickup","0.0"
"1482185340875","customer pickup","0.0"
"1482185340898","customer pickup","0.0"
"1482185340911","customer pickup","0.0"
"1482185340939","customer pickup","0.0"
"1482185340968","customer pickup","0.0"
"1482185340984","customer pickup","0.0"
"1482214406990","customer pickup","0.0"
"1482214407020","customer pickup","0.0"
"1482214407071","customer pickup","0.0"
"1482214407214","customer pickup","0.0"
"1482214407301","customer pickup","0.0"
"1482214407373","customer pickup","0.0"
"1482214408142","customer pickup","0.0"
"1482214408416","customer pickup","0.0"
"1482214408524","customer pickup","0.0"
"1482214408620","customer pickup","0.0"
"1482500292165","customer pickup","0.0"
"1482500292205","customer pickup","0.0"
"1482500292228","customer pickup","0.0"
"1482500292246","customer pickup","0.0"
"1482500292262","customer pickup","0.0"
"1482500292283","customer pickup","0.0"
"1482500292298","customer pickup","0.0"
"1482500292314","customer pickup","0.0"
"1482500292330","customer pickup","0.0"
"1482500292377","customer pickup","0.0"
"1482500359418","customer pickup","0.0"
"1482500359501","customer pickup","0.0"
"1482500359529","customer pickup","0.0"
"1482500359585","customer pickup","0.0"
"1482500359609","customer pickup","0.0"
"1482500359665","customer pickup","0.0"
"1482500359681","customer pickup","0.0"
"1482500359708","customer pickup","0.0"
"1482500359755","customer pickup","0.0"
"1482500359810","customer pickup","0.0"
"1482500588629","customer pickup","0.0"
"1482500588692","customer pickup","0.0"
"1482500588714","customer pickup","0.0"
"1482500588739","customer pickup","0.0"
"1482500588771","customer pickup","0.0"
"1482500588803","customer pickup","0.0"
"1482500588821","customer pickup","0.0"
"1482500588844","customer pickup","0.0"
"1482500588883","customer pickup","0.0"
"1482500588899","customer pickup","0.0"
"1482504217841","customer pickup","0.0"
"1482504217888","customer pickup","0.0"
"1482504217919","customer pickup","0.0"
"1482504217935","customer pickup","0.0"
"1482504217976","customer pickup","0.0"
"1482504217993","customer pickup","0.0"
"1482504218024","customer pickup","0.0"
"1482504218044","customer pickup","0.0"
"1482504218067","customer pickup","0.0"
"1482504218114","customer pickup","0.0"
"1482504350310","customer pickup","0.0"
"1482504350341","customer pickup","0.0"
"1482504350372","customer pickup","0.0"
"1482504350388","customer pickup","0.0"
"1482504350419","customer pickup","0.0"
"1482504350450","customer pickup","0.0"
"1482504350466","customer pickup","0.0"
"1482504350481","customer pickup","0.0"
"1482504350497","customer pickup","0.0"
"1482504350513","customer pickup","0.0"
"1482504931180","customer pickup","0.0"
